id	emotion	text
2965	neutral	"I started a relation with a girl, with whom I have fallen in   love already some time ago."
2966	fear	"Once sitting in the cinema, I became very anxious (watching a   ""cold"" film). I do not know the reason."
2967	anger	"I work for a journal. Once the lay-out came to nothing, due to   thoughtlessness of some colleagues."
2968	sadness	"My mother was stuck by an apoplectic fit, was hemi-paralyzed and   suffered an aphasia."
2969	disgust	Each time I am confronted with reports about repression and   torture.
2970	shame	I wrote a letter to my father to ventilate my bottled up   feelings. Afterwards I thought it was too negative.
2971	guilt	I chatted up with a girl who I didn't love. She however was   fallen in love with me. I felt responsible for her sorrow.
2972	fear	On a holiday in France I made a walk in the woods all alone and   very relaxed. Then a motorbike took me over and I saw the man   watching all the time. Suddenly the man stood behing me and I ran   away fast.
2973	anger	"I invited two friends. We should go out together. Those two girls   kept talking about boys, chatting up etc. I bacame sick of it."
2974	disgust	"I broke an egg, with which there was something wrong, into a   little cup. There was a thick white ""wad"" in it. I tried to take   it out and throw it in the sink."
2975	shame	"I was 10 years old I stained our bench with a fountain-pen,   I tried to twin the cushions, but then there were colour nuances.   Then my mother catched me, she saw it and became very angry."
2976	neutral	I liked to see off my aunt (from Zaire) to the airport. That   appeared to be impossible because I had to go to school. For long   time I wasn't sure if I could accompany her. Two days before the   departure they told me I was allowed to miss school.
2977	fear	"I went to the ballet lessons with a little friend in the dark. On   a very quiet place a boy approached us from behind and asked at   what time the lesson would be finished. I gave him an avoiding   answer, he took me up and wanted to run away with me."
2978	anger	I was sleeping nicely until in the middle of the night I became   awake because a friend called me for some (in my opinion)   nonsens reason.
2979	disgust	"On school, during a fancy fair, there was a stand of amnesty   international. There I read (for the first time) a description of   the tortures of a woman, what they did to her."
2980	shame	A friend catched me while masturbating. I am not fully sure   whether she saw it or not.
2981	guilt	I was 4-5 years old my mother gave me some parts of a   chocolate bar and ordered me to bring it to my father working   outside. On my way I could not resist the temptation and ate it   myself.
2982	fear	"I had left my home, my father, under false pretences, got me   in his car and drove home where we were all alone. He was seethed   with rage because I withrew from his authority. He hit me, kicked   me and threatened me."
2983	anger	"my father took away my cherised diaries to burn them (I was   also very sad) ""Oh, how I hated him""."
2984	sadness	"I felt very sad I left home because I could not stand it any   longer. I do not regret it, but I missed my little sister very   much (and she missed me). These feelings wear off over time."
2985	shame	"my mother found a leaf of my diary where I had written about   my mother's lack of education, especially her poor arithmetical   insight."
2986	guilt	"Very often I take care for my little sister and oversee her   duties. Most of the time everything went fine, but sometimes she   absolutely didn't want to obey; then I hit her (we frequently   were hit by our father)."
2987	fear	I was six years old we were on holiday in France. There was   very heavy weather then.
2988	anger	"A quarrel with my mother because I thought she said very   unreasonable things about me, that hit me strongly."
2989	sadness	The disease and subsequent death of a close acquaintance. Sadness   was accompanied with feelings of powerlessness (I also   experienced sadness in the situation described under guilt).
2990	disgust	I take a look into a slaughter-house and listening to   stories about torturing people or animals.
2991	shame	"Making bloopers: e.g. telling something negative about a certain   person, while that person is standing besides you and hears   everything."
2992	guilt	"I wanted to finish a relationship after 3 months. Unfortunately   my friend had a different opinion. I could not answer his   feelings this made him unhappy, and me feel guilty."
2993	neutral	"a friend of mine had her period, while thinking she was   pregnant."
2994	fear	Fear to come and live in Nijmegen.
2995	anger	the coach of our team degraded me to the second team.
2996	sadness	a friend died.
2997	disgust	I saw a documentary film about World War II (about Hitler   and his adepts).
2998	shame	"I embarrassed a friend by asking him aloud if a certain   person was ""the source of gossip"" he told me about, while that   person was also present."
2999	guilt	"I realised that I had rejected a boy, who was fallen in love   with me, rather bluntly four times."
3000	neutral	"Spending the nitht with close friends, after being away (out of   Nijmegen) for a while."
3001	fear	"Just before I started my study I had to move, I was very afraid   to be left alone and that I could not manage it."
3002	anger	"anybody wants to make me feel guilty. For example: I should   do something for my mother, but things didn't go as she hoped.   Then she threatens: I'll do it myself."
3003	sadness	"a close friend took leave of me, because she went to Israel   for one year."
3004	disgust	I wanted to take something from under my bed. While doing this I   felt a dead bird laying under my bed.
3005	shame	"I stayed at home for a period because I felt depressive and I   neglected my study people adked me, I told them that I had   freeterm and studied hard. I felt ashamed for my behavior and   lies."
3006	guilt	"After a quarrel with my mother in which matters were ""inflated""   enormously."
3007	neutral	"A fellow player, quite unexpectedly, scores a goal, which means a   draw."
3008	fear	"In college, I started a discussion with the teacher referring to   a question I posed. I felt very unsure and I was afraid to fail."
3009	anger	"While playing indoor-hockey, there always is an older man who   frequently and intentionally plays the ball out of the field. In   my opinion this is very childish, because we play for fun only."
3010	sadness	"I was together with my family one night, a few days after my   father had died, during that conversation I expressed my   displeasure because nobody understands me."
3011	disgust	"Salo, a movie film by Pasolini. People were misused and tortured   for the fun of a few elder Italian authorities, during World War   II."
3012	shame	"I was jerking me off in my bedroom, suddenly, my mother came   in. She looked at me and immediately left the room."
3013	fear	"I was walking alone in the street late at night (2.30 am). It was   very quiet. Then a man approached me and said ""Hello""."
3014	anger	"When, late at night, I discovered that they had stolen my bike."
3015	sadness	"a friend, after being free of drugs for half a year, started   using them again.  "
3016	disgust	"In a disco, there was a dirty little chap who punched my bottom."
3017	anger	a friend who comes visiting me unexpectedly asks for coffee   and I refuse to give him this.
3018	sadness	Watching a football game. This remindes me of the time my   father was still alive and we watched football games on TV   together.
3019	disgust	Seeing someone who has bleeding nose.
3020	shame	Asking someone to give me back the money I once lend him because   I needed it myself.
3021	guilt	I tell someone no. In other words I refuse to do   something although I could have helped him.
3022	neutral	I got a good grade for an exam in statistics.
3023	fear	"One night at three o'clock I was followed by a cardriver, who   tried to molest me."
3024	disgust	I read a book about torture. The book described exactly how the   torturing was done.
3025	shame	I made a joke about the rat of a boy. I compared his rat with a   sausage. I told the boy he had a delicious sausage.
3026	guilt	After a courtship of three months I made an end to it. The boy   was very sad about this.
3027	neutral	I had a very pleasant conversation with one of my friends.
3028	fear	I had a dream about my fiancTe leaving me and making an end to   our relation.
3029	anger	My bicycle was demolished.
3030	disgust	A fellow student who seemed very nice later on proved to be a   slimy fellow towards a professor.
3031	shame	My father was very angry with another man in the presence of my   friends.
3032	guilt	I once drank too much alcohol and became very ill. This was in the   presence of my friends.
3033	neutral	This week I was phoned by an old friend with whom I lost contact   a few years ago.
3034	fear	I was raped by a friend.
3035	anger	"Last year I had a friend visiting me for several days. The only   thing he did was sleeping, drinking, taking pills and thinking   only about himself."
3036	sadness	"My father suddenly fell ill. He stayed for 3 months in the   hospital: the last month on intensive care of the Academic   Hospital, then he died."
3037	disgust	"Bisshop Ter Schure intoduced himself on TV to the Dutch Nation.   He spoke as if he was God himself, and didn't discuss the way he   had achieved this position."
3038	shame	After having failed my driving test.
3039	neutral	"I thought that someone was angry with me but, by hindsight, that   didn't appear to be the case, he even liked me."
3040	fear	"Once, late at night, I was biking home and overtook a man. He   said to me ""Hello darling"" I was terrified and imagined the   wildest scenes."
3041	disgust	"I read about or think about environmental pollution, the   armor race, starvation, etc. Then one realizes that mankind is   bad, most important is power and money, at the cost of nature and   mankind."
3042	shame	I imitated a teacher behind his back - walking very silly.
3043	guilt	I told someone that I still had a relationship with a boy   although it was finished already 3 months before. That person   seriously discussed several things relating that issue. Then I   felt very miserable because I had told lies.
3044	neutral	A meeting and a conversation with a woman (somewhat elder than   me) who considers me as her child (she also has one child of her   own). Last two years I lived with her (no relationship).
3045	fear	"As a child I suffered of nightmares. Even since than, I have   never been so anxious and fearful."
3046	anger	"talking with my sister, she often ventilates prejudices,   which my father also adheres."
3047	sadness	"I was in a hopeless situation in a dirty place. No study, no   work, only loneliness."
3048	disgust	"It is very difficult to relate it to a certain event. I am   familiar with the disgust of Sartre (la nausTe), a frequently   occurring cause may be described as ""the self-assured dullness""."
3049	shame	"Recently, I left my bag in the car of someone who picked me up   while hitch-hiking. I spent some effort to find out where he   lived (I succeeded)."
3050	guilt	"In Biarritz (the South of France) I met some English students   who, especially for me, went to Paris and gave me food, while I   didn't have any more money."
3051	neutral	"I passed the driving test already on the first try, although   I felt more and more uncertain as the day came near."
3052	fear	"my father suffered with dizziness. He had to be   hospitalized, because the physician didn't know what was wrong.   Because his stools were black, I thought it could be cancer."
3053	sadness	"it suddenly appeared that our dog was dangerously ill and   probably would die. We had not expected this because he   was always very healthy. Fortunately he survived because we, in turn,   gave him medicines during the night."
3054	guilt	"my father told me that I should help my mother more often,   because she was so busy. And I realized that he was right."
3055	fear	"I lived in a student-house, where you shared the lavatory and   shower with a fellow student. the shower cubicle formed the   connection between both appartments. My neighbour very often was   drunk and aggressive. One night, I was afraid that he would enter   my room."
3056	anger	"I suffer from a disease of my muscles. Therefore, I am only able   to attend lectures for half a day. So, sometimes I miss   obligatory lectures. However, the teachers do not take into   account my disease, and punish me with detention work, resulting in   an overload."
3057	sadness	"I suffer form a disease of my muscles. However, I cannot talk   about it and my feelings, the consequence with my parents. They   try to repress it."
3058	shame	"Going out for dinner, or during one ice-cream and four spoons."
3059	guilt	I borrowed a piece of music of someone and I always forgot to   give it back. That person wrote me a letter asking me to give it   back. I did so and I told him an idle story why I kept it for so   long.
3060	fear	armed robbers broke into our house at night.
3061	anger	a pick-pocket robbed me of my money (K20) while I  was   buying bathing soap.
3062	disgust	my friend who was drunk insulted me in public for no reason at   all.
3063	shame	I tried to steal a book from the bookshop and was caught.
3064	guilt	I was caught with another man's wife.  I had taken the   opportuinty as this man was abroad but he returned that night.
3065	fear	"I had gone for a boxing tournament which ended at 2 o'clock   in the morning.  I was alone on my way back, and I could hear the   barking of the dogs, the nocturnal animals and the sound of my       own footsteps.  There had been a rumour  circulating that there   were ghosts in that area."
3066	anger	"In 1983 a sadist provoked my sister in my presence.  He tried   to force my sister into accompanying him to his place, but my   sister did not agree and so she was kicked and she fell down.    There was a fight."
3067	sadness	"my father passed away in 1978.  I was left alone with my   mother who was very sick so I had to go and live with my aunt, who   is very short tempered, till my mother was discharged from the   hospital."
3068	guilt	I broke my friend's badminton racket and she kept quiet about it.
3069	neutral	"""Boy, you have been admitted to the medicine school and your   uncle is coming back fron Canada next week,"" my father told me   and it was a happy moment."
3070	fear	I was in form five at the boarding school and my friends and I   had gone drinknig beer in the nearby village.  And we were caught   red handed there by a form master.
3071	anger	my mother quarrelled with my aunt over me.
3072	disgust	"I found out accidentaly that while my uncle was away in Canada, my   aunt had been bedding a young man on a regular basis."
3073	shame	It was during a school holiday - I was found necking a girl in my   room by my father.
3074	neutral	"I won the first prize at the science fair, the first of the kind   at school and I was only in form II then.  "
3075	fear	A close relative of mine died in a serious car accident.  I was   one of the first two people to see the corpse and I had to do it.    Before going in to see it I was afraid as it was the first time   that I was seeing a corpse.
3076	sadness	"a close relative of mine passed away, it was the first time   that someone so close to me had died."
3077	disgust	A person whom I thought to be honest took and spend the little   money that I had and I had no way of getting any money in the   few following months.
3078	shame	"While watching a religious film, I got very excited and made a   number of comments which were reproached to me by an elderly   person who respected me."
3079	guilt	I beat up a female friend after I heard the defamatory stories that   she had been telling.  I was later called to explain my   behaviour.
3080	anger	some seniors tried to scold and insult some juniors on   account of what the juniors were supposed to have said at   secondary school.
3081	sadness	"an uncle of mine, who was close to me, passed away after   having had a stroke, before his first daughter could be named."
3082	shame	I could not hold my bladder while making a telephone call   and ended up wetting myself.
3083	guilt	I was made to feel responsible for the emotional state a friend of   mine was in.
3084	sadness	My fiancT left me for my best friend.
3085	disgust	People who discriminate other people disgust me.
3086	shame	"On New Years eve I drank too much alcohol, so much that I had to   vomit in the presence of other people."
3087	guilt	I have cut loose from my father a few years ago. I know he is   very sad about this.
3088	neutral	A recurrent lovesickness.
3089	sadness	The dying of a close member of the family.
3090	disgust	"Seeing maltreated, dead animals."
3091	shame	A much older man took advantage of me during my childhood (four   to eight years of age).
3092	guilt	"my friend needed my help very much and I, at that moment, made   an end to our relationship."
3093	neutral	I passed a very important exam.
3094	fear	a man rang the doorbell and wanted to enter the house with   violence. I was alone at home that moment.
3095	anger	"A friend came to visit me late one night. He promised to stay   only a quarter of an hour, but he stayed 5 hours !! He didn't   leave and I was very angry."
3096	sadness	"I had to terminate a training because I wasn't suited for it. I   was very sad about this, because I very much wanted to finish   that training."
3097	shame	I tried to swindle a jeweller because my watch was broken and I   wanted to have it repaired it was a pity but they detected it.
3098	guilt	"Someone had to do a lot of efforts to make something work. With   my help he would have finished much sooner, but I wasn't in the   mood to help him."
3099	neutral	I went to visit friends and it was very companionable.
3100	fear	"I wanted to get in contact with a girl I loved, but I was afraid   she would refuse me."
3101	anger	During military service a superior reproached me unjustly. This   led to friction in a lot of situations.
3102	sadness	Disappointed love. The girl made an end to our relationship while   I thought she was in love with me.
3103	disgust	During military service I heard the story of someone who tried to   commit suicide and as a result of this got a week custody.
3104	shame	I thought of myself as being clumsy I made love for the   first time with a girl.
3105	guilt	A friend of mine had a bicycle-accident because I pulled at his   handlebar.
3106	neutral	Sitting alone in a quiet room concentrating on things happening   around me which pleases me.
3107	fear	"Sitting alone in a quiet room, concetrating on things happening   around you. Thoughts come into my mind which make me afraid."
3108	anger	a teacher tells a story which isn't true. It only reflects   his way of interpreting reality.
3109	sadness	I have high expectations for my future but if I pursue the   subject in this manner I will not attain this.
3110	disgust	I heard a broadcasting programme about parapsychology. The people   in this programme used very difficult words which I couldn't   understand. They acted exaggerated without showing any feeling.
3111	shame	A girl asked me why I didn't dance. I told her I was ashamed to   dance. I felt myself ashamed having to tell her this.
3112	guilt	I saved up money for a good purpose. As I also have to organise a   party I am afraid there will rest only a little money for the   good purpose I feel guilty about this.
3113	fear	During a football game I made an offence towards an acquaintance.   Later on this acquaintance also tackeled me and the game became   very rude.
3114	anger	I work at a petrol station. there is a foreigner who wants   petrol my collegues treat him very impolite.
3115	sadness	"An uncle of mine who just retired, having worked hard all his   life, got a cerebral hemorrhage."
3116	disgust	A student who lives in the same house where I live is an alcoholic. He   tries to manipulate other people with his money he has drunk   too much.
3117	shame	I went to a disco with a friend I started behaving badly   embarrassing him without reason.
3118	guilt	"I talked to another student about the notes she got last   semester, not knowing that she got a lot of bad grades."
3119	neutral	I got my drivers licence.
3120	fear	I stayed alone in a house in Great Brittain and there was a   lot of rumour in the newspaper about a murderer still being free.
3121	sadness	my mother was proved to suffer from a very serious disease.
3122	disgust	The stories about my aunt who was beaten and humiliated by my   uncle.
3123	shame	"I omitted to do a favor to a friend, while he was very much in   need for help."
3124	guilt	I had a little accident with my boss'car.
3125	neutral	Every year during carnival I am very neutralful I have an intense   feeling of happiness then.
3126	fear	The only event I can remember is having a nightmare I was   very young (3 years old) I dreamt about a machine which was going   to crush me.
3127	anger	I am usually angry at myself. This happens often. For instace   I want to pet without falling in love and it soon proves   that I have fallen in love with him.
3128	disgust	There is a person whom I disgust. Evrey time I see her I get this   terrible feeling I disgust her whole appearance.
3129	shame	I am angry at someone without a good reason. Later on it   proves that he didn't do anything wrong.
3130	guilt	My mother always evokes feelings of guilt in me. For instance   I miss the last bus I know she will be concerned for me and   stay awake till I arrive.
3131	neutral	I came again in contact with a girl I liked very much. And   most important she also liked me.
3132	sadness	my father had a cerebral hemorrhage.
3133	shame	During a party I overheard a conversation about china. I   wanted to give my opinion one of the people came out to be Chinese   and his opinion was right of course.
3134	neutral	an old schoolfriend phoned me to arrange an appointment to   talk about old memories. I hadn't seen him for 8 years.
3135	fear	Standing in a crowed shop or in a closed room with too much   people in it. This gives me a fearful experience.
3136	disgust	"my parents behave very ""witty"" towards me, they make insipid   jokes about which they laugh. Or my mother who treats me like a   little child."
3137	shame	Making an unexpected talk with a professor in the canteen. This   made me shy.
3138	guilt	"Flirting with other girls while I already had a very good   relationship. there are problems in my relationship, the   flirting increases as does the feeling of guilt."
3139	fear	"I lived alone in a repulsive area in the city of Rotterdam. I was   annoyed, heard a lot of Burglary and assaults. Especially in the evening   and the night I frequently felt anxious."
3140	anger	Being treated unfairly and being hurt by someone I love.
3141	sadness	"I finished a relation after four years, leading to much   sorrow for the other one and myself (""although it was the best   solution"")."
3142	disgust	"Every time I meet a certain person. We cannot get on well   together, we dislike each other."
3143	shame	coming up for trial because of shop lifting.
3144	guilt	Being catched stealing.
3145	neutral	I fell over head and ears in love with someone who appeared to be   in love with me. it made me so happy that I could hardly sleep   and eat for one week.
3146	fear	One night I had to bike home all alone after a party. Then I   found out that I was pursued by a man in a car.
3147	anger	"I had a quarrel with my father, because I was of the opinion that   he decided in an authoritarian way which TV program we should   watch. I became very angry and started throwing things through   the room."
3148	shame	"I was catched when, as a little girl, I played tricks. I was very   startled then and wet my pants."
3149	guilt	"I was of the opinion that 12.00 pm was too early to be back at   home after going out, so I stayed away longer, knowing that my   mother would be worried."
3150	neutral	I was called and invited to have a talk about a job I wanted to have.
3151	fear	Once late at night (around midnight) a person asked me to give   him a lift. He suddenly tried to attack me but I could escape.   After this he followed me for a little while.
3152	anger	There was a lot of irritation between me and a person who lives   in the same house where I live. Suddenly it became too much for me and I   accused him of several things.
3153	sadness	The end of a relationship (after 4 years) by doing this I hurt   the other person very much.
3154	disgust	I saw a terrible accident in which the driver of a motor was   thrown through the frontwindow of a car. His face was completely   away.
3155	shame	I am troubled by hair growing in my neck. I was troubled by this   for a long time and was much ashamed someone brought his/her   hands close to my face.
3156	neutral	a friend of me came for an unexpected visit.
3157	fear	I thought the house was on fire at night.
3158	anger	I was at an official meeting I asked a question to a person.   His response was not directed at me but at the chairman.
3159	sadness	the mother of a good friend of mine died.
3160	disgust	A teacher was very blunt in his relation to a child so that the   child was very upset arriving at home.
3161	shame	I was very angry at someone.
3162	guilt	That I didn't take the time to make an appointment with someone.
3163	neutral	After I saw my family and good friends back after staying one   year in a foreign country. 
3164	fear	a good friend of mine behaved in a very cool manner to me   for a very long time.
3165	anger	I was in the library of medical psychology and walked into the   wrong direction. A man who came out of a room threated me very   denigrating and I became very angry in a resisting manner.
3166	sadness	A good friend of mine died. During the funeral I felt an intense   feeling of sadness.
3167	disgust	an uncle of mine who is very ill started to cough wich   sounded very dirty. (He can't help it of course).
3168	shame	At Christmas night there was a good movie on television which I   wanted to see for years. I was whining about it till someone told   me it was very childish. Then I felt shame.
3169	guilt	A good friend of mine who is at the moment in a foreign country.   I didn't write her for several months and now I feel guilty.
3170	neutral	I go out with my friend with enough money and good sense to   our favorite dancing.
3171	fear	going out I am threatened regularly by two punk-girls.
3172	anger	A friend started to shout at me. He called me an old frump.
3173	disgust	My father is someone I disgust. So he comes close to me   a feeling of disgust overwhelms me. I stay a week-end at my   parent's place I will remember it for long time.
3174	shame	After a party in which I made love with a boy in public. Later on   I heard that others were talking about me and called me a slut.
3175	guilt	"I got associated with a boy one year ago, I neglected my   best friend. the relation with this boy finished she behaved   very easy-going towards me. I felt guilty then."
3176	neutral	I made the winning goal during a very important football   game.
3177	fear	A terrible cloud-burst started we were camping in a tent on   a great bald field.
3178	anger	"Seeing for the first time pictures about the so called   ""treatment"" of Jewish people in Nazi-Germany during World War II."
3179	sadness	The death of my mother-in-law after a long sick-bed. at the   moment of dying I was with her.
3180	disgust	I was looking at a one-man show on television. He told very   disgusting things so that I started to be disgusted with it.   (Later on it proved that this was his intention).
3181	shame	I was drinking a glass of wine and eating something there   suddenly appeared pictures about the famine in some parts of   Africa.
3182	neutral	it appeared that I was not pregnant I was several weeks   overtime.
3183	fear	The same situation as with sadness. I was afraid about what my   parents would further do to distroy my relationship.
3184	anger	Once again my parents distroyed a relationship.
3185	sadness	I had this feeling my parents distroyed a relationship with   a boy because they thought he was bad and irresponsible.
3186	disgust	After the accident which I described in SHAME. I came to myself   and saw how terrible everything looked like. I disgusted myself   and everything I saw.
3187	disgust	I heard part of a conversation in which one talked very low about   women.
3188	shame	"In an important situation for me, my father behaved inadequately."
3189	guilt	I took the car of someone without saying it to him.
3190	fear	a good friend of me told me one evening that she didn't want   to live anymore.
3191	anger	"I felt anger at the end of a telephone call, a good friend   told me that she would go to travel next year with another good   friend. We couldn't talk this out."
3192	sadness	I was very sad I had to leave persons with whom I had a very   intense relationship I also had to leave the environment which   was part of this.
3193	disgust	I felt disgust after watching a picture on television about   torturing political prisoners in India (this happened in the   India of Indira Ghandi).
3194	shame	I made a very insulting remark against a person whom I care for   very much. This event was caused by a third person who didn't   like the person I insulted.
3195	guilt	I felt guilt towards my mother I went to live on rooms in   Nijmegen where I study.
3196	fear	I walk through streets late at night. This is because I and   my friends were attacked one night without any reason for it.
3197	disgust	I feel disgust hearing or seeing other people being treated   inhumanely. For example torturing in chili.
3198	shame	In my opinion guilt is a feeling which goes together with shame.   Here then I refer to the situation of guilt.
3199	neutral	The day I heard that I passed the high school exam.
3200	fear	"I was living in rooms in a very lonely, quiet neigbourhood.   During the night it was very silent and this frightened me. The   fact of being alone in that house frightened me."
3201	anger	We had to move to a very different city because the company where   my father worked also moved to that place. It was very difficult   for me to make new friends than.
3202	sadness	A very close friend of mine died. I read it in the newspaper. I   didn't know what to do and thought about it the whole day.
3203	disgust	A girl who also hires a room in the house where I live always   tries to make a quarrel with everyone available she disgusts me.
3204	shame	A teacher spent a lot of time helping me without wanting to be   paid for it. For the exam I didn't got a good grade and I felt   ashamed.
3205	guilt	I knew I had to take an exam very soon but yet I couldn't start   studying. I also knew it was very imprtant to succeed the exam   this time.
3206	neutral	"Christmas holiday started, I felt very neutralful I   finished my last exam."
3207	fear	I was raped once I went through a dark alley at the back of   our house. The man pushed me in the bushes. I fought back and   succeeded to escape.
3208	sadness	my gradmother died.  I felt very sad then ... The feeling   started to be worse after a while.
3209	disgust	I ate a rotten apple.
3210	shame	I didn't meet an appointment I had made. The person phoned   me but I thought of something (I told I was ill) so that I didn't   have to go.
3211	fear	I slept for the first time all alone in the house where I   live now. A man phoned me at 2.00 am. He wanted something from   me. I was afraid.
3212	sadness	"I hadn't been at my parent's place for a long time. I went to   visit them I had high expectations, but I was there it was   very different from what I expected."
3213	disgust	I read a story in the newspaper about butchers treating their   animals very badly. They disgusted me.
3214	shame	"I was eating in a very nice restaurant, the servant asked   whether I liked the food I told him that I liked it but that   there was one thing which wasn't so good. The servant than worked   very hard to make it good."
3215	guilt	A few weeks ago I thought about an exam I had to take soon. I   remembered this just before I had to go to sleep. I felt guilt   because at the beginning of the year I planned to succeed.
3216	neutral	During my high school time I succeeded to play a concert of   Mozart on the piano I gave my first performance I succeeded   to play it very well.
3217	fear	"a car ran into me. The moment that I felt on the street I   thought ""This is my end, I am going to die""."
3218	anger	our cat was killed in a car-accident I was very angry at the   driver of the car because he didn't take enough care.
3219	sadness	"There is a boy who I love very much. I asked him to have dinner   with me, but he refused I don't know why he didn't go with me,   but I felt very lonely."
3220	disgust	I saw a dog who was eating excrements.
3221	shame	During my Highschool time I was chairman of the student's   comitee. In this function I once had to make a speech to a large   audience and I was very nervous. After three sentences I forgot   my text.
3222	guilt	"During a holiday in East-Germany I got aquainted with a boy who   lived there. We started writing, but I only wrote once. I felt   ashamed because I probably was one of his sparse contacts with   western Europe."
3223	neutral	I saw a good friend again after not having seen her for a   long time.
3224	fear	I slipped on a glazed frost road and a car almost ran into   me.
3225	anger	people without my permission pry in my belongings and take   things out of it.
3226	sadness	I noticed that my parents were not in such a prosperity as   most people in my surroundings.
3227	disgust	Seeing a pornographic movie in which animals were used.
3228	shame	I went for the first time in my life to a nudist-beach.
3229	guilt	I was caught sneaking sweets.
3230	neutral	I went to visit a friend in the hospital. She had to undergo   an operation for rupture. I was glad to hear that the operation   succeeded and that she was relieved of her pain.
3231	fear	"I had an appointment with a good friend. He came 3 hours later   than we agreed upon. During the last hour of waiting I was afraid   something might had happened, because usally he is in time."
3232	anger	I worked together with another student on a computer-assignment.   She didn't do her best and didn't prepare herself for it. She   expected me to explain it to her.
3233	sadness	I had a quarrel with a good friend about the fact that I didn't   pay her a visit she expected me to come. Hereafter I was   very sad because it became a real quarrel.
3234	disgust	I was hitch-hiking a man stopped and gave me a lift to   Nijmegen. During the ride he asked me whether I was in for fun.   The man was fat and tatooed.
3235	shame	I forgot something I agreed upon with a good friend.
3236	guilt	"I became very angry with my friend because he didn't do shopping,   while we agreed on him doing this. My being angry was proved to be   without reason and I felt guilty about it."
3237	fear	I was 12 years old I frequently was pursued by others and   got sound thrashes.
3238	disgust	once again I drank too much and felt very rotten the morning   after.
3239	guilt	"having a relationship, I made love with another girl."
3240	neutral	the girl with whom I am in love smiles at me.
3241	fear	biking and I felt very bad (problems with heart and   respiration).
3242	anger	"a discussion resulted in an insult, which in my opinion, was   not justified."
3243	sadness	I realized that it did not make much sense to start a   relationship with a girl who was not very constructive to   establish a firm relationship.
3244	disgust	I had to finish those big amounts of homework in time.
3245	shame	"I gave water to the plants of a friend. Then one plant fell   over, and a little statue broke. I, of course, had to tell him   everything."
3246	guilt	I had broken a piece of glass of the refrigerator by putting   a hot pan in it.
3247	anger	"My father called me (behind my mother's back) and told me that my   mother disapproved my behavior in the weekend. However, he didn't   tell me the details and left me with unanswered questions."
3248	disgust	"A scene in a film in which one man repressed another one. By   concidence, their position was reversed. The other man was   repressed in an identical way as he did before."
3249	shame	I do not succeed in making myself clear to other people.   they do not understand what I say.
3250	guilt	After the death of a girl who I disliked.
3251	fear	"I was very startled when, at night at 2.00 am, a boy approached   me and yelled ""I fuck you"", then however he stopped and laughed at   me."
3252	anger	someone does not listen to me after having asked me to   repeat what I said. This happened more than one time with the   same person.
3253	sadness	I felt very sad I heard that a friend had committed suicide.
3254	disgust	One night I saw a man being knocked down by two other men. The   victim was kicked against his head.
3255	guilt	I cancelled an appointment with an idle story. Afterwards   it appeared that the person had looked forward to it and reserved   time for it.
3256	neutral	"For a few days I felt very miserable, distressed and listless,   with crying fits. this was over I felt very happy, although   there was no special reason."
3257	fear	"I was testing my new roller skates in the street, suddenly a dog   ran barking in my direction, very threatening. I was very   startled and terribly upset."
3258	sadness	Recently I felt very sad without any reason. It lasted for a few   days. There was nothing I liked in that period.
3259	anger	Someone told me that he would stay at my home for one night.   Therefore I made big efforts to make everything ok (food). One day   before he cancelled the appointment because he had to go to   church with his parents.
3260	sadness	We had to take our cat to the vet for mercy killing (an   injection).
3261	disgust	"people are eating unsavoury (smacking, belching, speaking   with food in their mouth, etc.)."
3262	guilt	I made an appointment to pick up someone. However I arrived   too late and she had to wait a quarter of an hour.
3263	neutral	One night I had a very good conversation with two friends. I then   realized how worthy they were for me and how happy I was to   have them as friends.
3264	fear	In the morning just before going to the dentist.
3265	disgust	I made love with someone who I didn't really love. Sometimes   I even considered him unlikable.
3266	guilt	I realized that I avoided two good friends with whom I   always shared toys and sorrows. I made up idle stories to avoid   telling them what happened to me.
3267	fear	"going out in the weekend I have to bike 5 kilometers through   lonely and dark polders, then I always have terrifying fantasies."
3268	anger	"I made an appointment with a friend to drink coffee togehter.   However, for the third time in that week she arrived an hour too   late."
3269	sadness	My dear hamster (called Hannes) died at the age of 2 and 1/2 years.   His shape forced me to mercy killing (an injection).
3270	disgust	I read a newspaper report that a little boy was forced to look   while his sister was raped.
3271	shame	We had made an appointment to complete together a piece of work.   It appeared that I was the only one who hadn't prepared anything.
3272	guilt	"I call my mother at least once a week. However last week I   completely forgot. This morning she called me, she thought I felt   ill."
3273	fear	I had to call someone and make an appointment for a conversation.   I was very afraid to fail.
3274	anger	"When, after having cleaned up the kitchen, two hours later I saw   that there was a big mess. It irritated me very much."
3275	sadness	One night I was called and told that the father of a close friend   died. I visited my friend at home and attending the   funeral I felt very sad.
3276	disgust	I cannot remember exactly such a situation. But I know that   once I went to a very dirty lavatory and that disgusted me.
3277	guilt	"I once torn the inner tube of a bike, that was not mine. Then I   saw it was a brand new one. I felt very guilty then."
3278	neutral	"I found out that the girl, with whom I was in love, loved me   too."
3279	fear	"my mother threatened me with thrushing me of the stairs,   I once more should make a comment."
3280	sadness	My mother unjustly became very angry with me and sent me to my   room while my father explained that the way she saw things was   not correct. I had done things with the best intentions.
